unitid,name,city,state,level,control,Undergraduate Program,Graduate Program,Enrollment Profile,Undergraduate Profile,Size & Setting,Basic,Community Engagement,"133 results for  Basic = 'Doctoral Universities: High Research Activity'"
190044,"Clarkson University","Potsdam","NY","Four or more years","Private not-for-profit","Professions plus arts & sciences some graduate coexistence","Research Doctoral STEM-dominant","High undergraduate","Four-year full-time more selective lower transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
202134,"Cleveland State University","Cleveland","OH","Four or more years","Public","Professions plus arts & sciences high graduate coexistence","Research Doctoral STEM-dominant","High undergraduate","Four-year full-time inclusive higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified"
181002,"Creighton University","Omaha","NE","Four or more years","Private not-for-profit","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","Majority undergraduate","Four-year full-time selective lower transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
190567,"CUNY City College","New York","NY","Four or more years","Public","Arts & sciences plus professions high graduate coexistence","Research Doctoral Single program Other","High undergraduate","Four-year full-time selective higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Not Classified"
144740,"DePaul University","Chicago","IL","Four or more years","Private not-for-profit","Professions plus arts & sciences high graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","Majority undergraduate","Four-year full-time selective higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified"
212106,"Duquesne University","Pittsburgh","PA","Four or more years","Private not-for-profit","Professions plus arts & sciences high graduate coexistence","Research Doctoral Professional-dominant","Majority undergraduate","Four-year full-time selective lower transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Classified"
198464,"East Carolina University","Greenville","NC","Four or more years","Public","Professions plus arts & sciences high graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time selective higher transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified"
220075,"East Tennessee State University","Johnson City","TN","Four or more years","Public","Professions plus arts & sciences high graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time selective higher transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Not Classified"
169798,"Eastern Michigan University","Ypsilanti","MI","Four or more years","Public","Professions plus arts & sciences high graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year medium full-time lower transfer-in higher transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified"
133650,"Florida Agricultural and Mechanical University","Tallahassee","FL","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time selective higher transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified"
133669,"Florida Atlantic University","Boca Raton","FL","Four or more years","Public","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral STEM-dominant","High undergraduate","Four-year medium full-time higher transfer-in higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified"
133881,"Florida Institute of Technology","Melbourne","FL","Four or more years","Private not-for-profit","Professions plus arts & sciences high graduate coexistence","Research Doctoral STEM-dominant","Majority undergraduate","Four-year full-time selective higher transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
191241,"Fordham University","Bronx","NY","Four or more years","Private not-for-profit","Arts & sciences plus professions some graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","Majority undergraduate","Four-year full-time more selective lower transfer-in","Four-year large highly residential","Doctoral Universities High Research Activity","Not Classified"
139931,"Georgia Southern University","Statesboro","GA","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","Very high undergraduate","Four-year full-time inclusive lower transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Not Classified"
131520,"Howard University","Washington","DC","Four or more years","Private not-for-profit","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral Comprehensive programs with medical/veterinary school","Majority undergraduate","Four-year full-time selective lower transfer-in","Four-year large highly residential","Doctoral Universities High Research Activity","Not Classified"
142276,"Idaho State University","Pocatello","ID","Four or more years","Public","Professions plus arts & sciences high graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","High undergraduate","Four-year medium full-time lower transfer-in higher transfer-in","Four-year medium primarily nonresidential","Doctoral Universities High Research Activity","Not Classified"
145725,"Illinois Institute of Technology","Chicago","IL","Four or more years","Private not-for-profit","Professions plus arts & sciences high graduate coexistence","Research Doctoral STEM-dominant","Majority undergraduate","Four-year full-time more selective higher transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
145813,"Illinois State University","Normal","IL","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","Very high undergraduate","Four-year full-time selective higher transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified"
213020,"Indiana University of Pennsylvania-Main Campus","Indiana","PA","Four or more years","Public","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","High undergraduate","Four-year full-time inclusive lower transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
151111,"Indiana University-Purdue University-Indianapolis","Indianapolis","IN","Four or more years","Public","Professions plus arts & sciences high graduate coexistence","Research Doctoral STEM-dominant","High undergraduate","Four-year full-time inclusive higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified"
175856,"Jackson State University","Jackson","MS","Four or more years","Public","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time inclusive higher transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
232423,"James Madison University","Harrisonburg","VA","Four or more years","Public","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Professional-dominant","Very high undergraduate","Four-year full-time selective lower transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified"
486840,"Kennesaw State University","Kennesaw","GA","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","Very high undergraduate","Four-year medium full-time higher transfer-in higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified"
213543,"Lehigh University","Bethlehem","PA","Four or more years","Private not-for-profit","Professions plus arts & sciences some graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","High undergraduate","Four-year full-time more selective lower transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified"
117636,"Loma Linda University","Loma Linda","CA","Four or more years","Private not-for-profit","Professions focus high graduate coexistence","Research Doctoral Professional-dominant","Majority graduate","Four-year full-time inclusive higher transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
192448,"Long Island University","Brookville","NY","Four or more years","Private not-for-profit","Professions focus some graduate coexistence","Research Doctoral Professional-dominant","Majority undergraduate","Four-year full-time selective higher transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified"
159647,"Louisiana Tech University","Ruston","LA","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time selective lower transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified"
117946,"Loyola Marymount University","Los Angeles","CA","Four or more years","Private not-for-profit","Arts & sciences plus professions some graduate coexistence","Research Doctoral Single program Education","Majority undergraduate","Four-year full-time more selective higher transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
146719,"Loyola University Chicago","Chicago","IL","Four or more years","Private not-for-profit","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Comprehensive programs with medical/veterinary school","Majority undergraduate","Four-year full-time more selective lower transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified"
239105,"Marquette University","Milwaukee","WI","Four or more years","Private not-for-profit","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Comprehensive programs with medical/veterinary school","Majority undergraduate","Four-year full-time more selective lower transfer-in","Four-year large highly residential","Doctoral Universities High Research Activity","Classified"
237525,"Marshall University","Huntington","WV","Four or more years","Public","Professions plus arts & sciences high graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time inclusive lower transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified"
140447,"Mercer University","Macon","GA","Four or more years","Private not-for-profit","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Professional-dominant","Majority undergraduate","Four-year full-time more selective higher transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Classified"
204024,"Miami University-Oxford","Oxford","OH","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","Very high undergraduate","Four-year full-time more selective lower transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Not Classified"
171128,"Michigan Technological University","Houghton","MI","Four or more years","Public","Professions focus high graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","High undergraduate","Four-year full-time more selective lower transfer-in","Four-year medium highly residential","Doctoral Universities High Research Activity","Not Classified"
220978,"Middle Tennessee State University","Murfreesboro","TN","Four or more years","Public","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","Very high undergraduate","Four-year full-time selective higher transfer-in","Four-year large primarily nonresidential","Doctoral Universities High Research Activity","Classified"
178411,"Missouri University of Science and Technology","Rolla","MO","Four or more years","Public","Professions plus arts & sciences high graduate coexistence","Research Doctoral STEM-dominant","High undergraduate","Four-year full-time more selective lower transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified"
185590,"Montclair State University","Montclair","NJ","Four or more years","Public","Balanced arts & sciences/professions some graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time inclusive higher transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified"
163453,"Morgan State University","Baltimore","MD","Four or more years","Public","Professions plus arts & sciences some graduate coexistence","Research Doctoral Professional-dominant","High undergraduate","Four-year full-time inclusive lower transfer-in","Four-year medium primarily residential","Doctoral Universities High Research Activity","Not Classified"
188030,"New Mexico State University-Main Campus","Las Cruces","NM","Four or more years","Public","Professions plus arts & sciences high graduate coexistence","Research Doctoral Comprehensive programs no medical/veterinary school","High undergraduate","Four-year full-time inclusive lower transfer-in","Four-year large primarily residential","Doctoral Universities High Research Activity","Classified"
