Institution,Rank_earned_doct,Percentile_earned_doct,Rank_full_time_grad,Percentile_full_time_grad,Rank_tot_rd,Percentile_tot_rd,Rank_research_space,Percentile_research_space
Longwood U.,0,0.0,562,81.5,743,81.9,0,0.0
Loras C.,0,0.0,572,82.9,0,0.0,0,0.0
Louisiana State U.,0,0.0,85,13.1,0,0.0,0,0.0
"Louisiana State U., Baton Rouge",63,14.7,0,0.0,91,10.8,48,9.0
"Louisiana State U., Health Sciences Center, New Orleans",304,68.1,0,0.0,216,24.4,223,38.8
"Louisiana State U., Health Sciences Center, Shreveport",354,79.2,0,0.0,257,28.9,240,41.7
"Louisiana State U., Shreveport",0,0.0,0,0.0,776,85.5,0,0.0
Louisiana Tech U.,244,54.8,329,48.1,246,27.7,217,37.7
Loyola Marymount U.,0,0.0,388,56.5,329,36.8,420,72.3
"Loyola U., Chicago",184,41.5,221,32.6,218,24.7,164,28.7
"Loyola U., Maryland",386,86.3,388,56.5,722,79.6,0,0.0
"Loyola U., New Orleans",0,0.0,0,0.0,767,84.5,0,0.0
Luther C.,0,0.0,0,0.0,819,90.2,0,0.0
Luther Seminary,430,96.0,0,0.0,0,0.0,0,0.0
"Lutheran School of Theology, Chicago",417,93.1,0,0.0,0,0.0,0,0.0
MGH Institute of Health Professions,0,0.0,427,62.1,479,53.1,582,99.8
Macalester C.,0,0.0,0,0.0,604,66.8,498,85.5
Maharishi U. Management,417,93.1,185,27.4,0,0.0,0,0.0
Manchester C.,0,0.0,0,0.0,859,94.6,0,0.0
Manhattan C.,0,0.0,413,60.1,555,61.4,485,83.3
Marietta C.,0,0.0,677,98.0,0,0.0,0,0.0
Marquette U.,200,45.1,234,34.4,228,25.8,277,48.0
Marshall B. Ketchum U.,0,0.0,661,95.7,597,66.0,569,97.6
Marshall U.,288,64.6,267,39.2,264,29.7,216,37.6
Maryland Institute C. Art,0,0.0,0,0.0,719,79.3,0,0.0
Marymount U.,0,0.0,313,45.8,521,57.7,0,0.0
Marywood U.,386,86.3,454,66.0,0,0.0,0,0.0
Massachusetts C. Pharmacy and Health Sciences,396,88.5,383,55.8,829,91.3,0,0.0
Massachusetts Institute of Technology,18,4.8,27,4.7,29,4.1,34,6.6
"Mayo Clinic, Mayo Graduate School",262,58.8,321,46.9,0,0.0,0,0.0
Mayville State U.,0,0.0,0,0.0,719,79.3,0,0.0
McMurry U.,0,0.0,0,0.0,846,93.1,0,0.0
McNeese State U.,0,0.0,408,59.4,713,78.6,0,0.0
Medical C. Wisconsin,234,52.6,318,46.5,95,11.3,148,26.0
Medical U. South Carolina,241,54.2,359,52.4,93,11.0,102,18.2
Meharry Medical C.,386,86.3,364,53.1,303,33.9,201,35.0
Memorial Sloan Kettering Cancer Center,0,0.0,472,68.6,0,0.0,0,0.0
"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",364,81.4,0,0.0,456,50.6,573,98.3
Mercer U.,354,79.2,343,50.1,198,22.5,238,41.3
Mercyhurst U.,0,0.0,540,78.3,548,60.6,443,76.2
Merrimack C.,0,0.0,0,0.0,800,88.1,0,0.0
Metropolitan State U.,0,0.0,637,92.3,900,99.0,0,0.0
Metropolitan State U. of Denver,0,0.0,0,0.0,794,87.5,0,0.0
Miami U.,0,0.0,210,31.0,255,28.7,236,41.0
"Miami U., Oxford",206,46.4,0,0.0,0,0.0,0,0.0
Michigan State U.,24,6.1,51,8.2,39,5.1,15,3.4
Michigan Technological U.,164,37.1,170,25.3,172,19.6,167,29.2
"Mid-America Baptist Theological Seminary, Cordova",354,79.2,0,0.0,0,0.0,0,0.0
Middle Tennessee State U.,234,52.6,0,0.0,270,30.3,407,70.1
Middlebury C.,430,96.0,0,0.0,485,53.8,379,65.3
Midwestern Baptist Theological Seminary,232,52.2,0,0.0,0,0.0,0,0.0
Midwestern State U.,0,0.0,438,63.7,665,73.4,0,0.0
Midwestern U.,0,0.0,320,46.8,337,37.6,291,50.3
Millersville U. Pennsylvania,0,0.0,574,83.2,655,72.3,0,0.0
Mills C.,0,0.0,617,89.4,672,74.2,0,0.0
Millsaps C.,0,0.0,0,0.0,718,79.2,0,0.0
Milwaukee School of Engineering,0,0.0,665,96.3,476,52.8,517,88.8
"Minnesota State U., Mankato",0,0.0,380,55.4,530,58.7,451,77.6
"Minnesota State U., Moorhead",0,0.0,529,76.8,776,85.5,0,0.0
Minot State U.,0,0.0,0,0.0,754,83.1,0,0.0
Mississippi C.,0,0.0,366,53.4,0,0.0,0,0.0
Mississippi State U.,112,25.6,133,19.9,97,11.5,24,4.9
Mississippi U. for Women,0,0.0,488,70.9,0,0.0,0,0.0
Mississippi Valley State U.,0,0.0,643,93.1,805,88.7,0,0.0
Missouri State U.,0,0.0,248,36.4,343,38.3,304,52.5
Missouri U.  Science and Technology,129,29.4,174,25.8,195,22.2,194,33.8
Missouri Western State U.,0,0.0,0,0.0,881,97.0,0,0.0
Molloy C.,364,81.4,483,70.2,0,0.0,0,0.0
Monmouth U.,0,0.0,555,80.5,573,63.4,547,93.9
Montana State U.,0,0.0,179,26.5,0,0.0,0,0.0
"Montana State U., Billings",0,0.0,665,96.3,751,82.8,0,0.0
"Montana State U., Bozeman",189,42.6,0,0.0,130,15.1,173,30.3
"Montana State U., Northern",0,0.0,0,0.0,812,89.4,0,0.0
Montana Technological U.,430,96.0,506,73.5,313,35.0,439,75.5
Montclair State U.,257,57.7,155,23.1,293,32.8,366,63.1
Moravian C.,0,0.0,0,0.0,862,94.9,0,0.0
Morehead State U.,0,0.0,635,92.0,565,62.5,483,83.0
Morehouse C.,0,0.0,0,0.0,427,47.5,471,81.0
Morehouse School of Medicine,334,74.8,401,58.4,236,26.6,327,56.5
Morgan State U.,225,50.6,274,40.2,276,31.0,215,37.4
Mount Holyoke C.,0,0.0,0,0.0,542,60.0,444,76.4
Muhlenberg C.,0,0.0,0,0.0,851,93.7,0,0.0
Murray State U.,0,0.0,408,59.4,449,49.9,249,43.2
National Defense U.,0,0.0,0,0.0,455,50.5,0,0.0
National Louis U.,372,83.2,238,35.0,0,0.0,0,0.0
National U.,0,0.0,129,19.4,0,0.0,0,0.0
National U.  Natural Medicine,0,0.0,0,0.0,672,74.2,580,99.5
Naval Postgraduate School,325,72.8,153,22.8,186,21.2,0,0.0
Naval War C.,0,0.0,0,0.0,399,44.4,0,0.0
Nevada State C.,0,0.0,0,0.0,639,70.6,0,0.0
New C. Florida,0,0.0,0,0.0,650,71.8,0,0.0
"New England C. Optometry, The",0,0.0,634,91.8,544,60.2,566,97.1
New England Conservatory,372,83.2,0,0.0,0,0.0,0,0.0
New Jersey City U.,0,0.0,496,72.0,899,98.9,0,0.0
New Jersey Institute of Technology,150,34.0,119,17.9,139,16.1,271,46.9
New Mexico Highlands U.,0,0.0,574,83.2,621,68.6,345,59.5
New Mexico Institute of Mining and Technology,325,72.8,349,50.9,241,27.2,359,61.9
New Mexico State U.,0,0.0,156,23.2,161,18.4,137,24.1
"New Mexico State U., Las Cruces",142,32.2,0,0.0,0,0.0,0,0.0
New Orleans Baptist Theological Seminary,348,77.9,0,0.0,0,0.0,0,0.0
"New School, The",203,45.7,183,27.1,317,35.5,512,87.9
New York Institute of Technology,0,0.0,293,42.9,431,47.9,450,77.4
New York Medical C.,372,83.2,336,49.1,284,31.9,290,50.2
New York U.,38,9.2,4,1.4,23,3.4,65,11.9
Niagara U.,0,0.0,522,75.8,756,83.3,0,0.0
Nicholls State U.,0,0.0,496,72.0,740,81.6,0,0.0
Norfolk State U.,372,83.2,457,66.4,435,48.3,384,66.2
North Carolina Agricultural and Technical State U.,202,45.5,270,39.6,225,25.4,184,32.1
North Carolina Central U.,0,0.0,317,46.3,319,35.7,225,39.1
North Carolina State U.,21,5.4,29,5.0,53,6.7,12,2.9
North Dakota State U.,139,31.6,192,28.4,141,16.3,37,7.1
Northeast C. of Health Sciences,0,0.0,0,0.0,896,98.6,0,0.0
Northeast Ohio Medical U.,430,96.0,0,0.0,323,36.1,228,39.6
Northeastern Illinois U.,0,0.0,462,67.1,551,61.0,347,59.9
"Northeastern Ohio Universities, C.  Medicine",0,0.0,612,88.7,0,0.0,0,0.0
Northeastern State U.,0,0.0,377,55.0,854,94.0,0,0.0
Northeastern U.,96,22.0,7,1.9,116,13.5,130,22.9
Northern Arizona U.,218,49.1,181,26.8,178,20.3,205,35.7
Northern Illinois U.,197,44.4,183,27.1,254,28.6,280,48.5
Northern Kentucky U.,0,0.0,515,74.8,469,52.0,461,79.3
Northern Michigan U.,0,0.0,491,71.3,596,65.9,520,89.3
Northern New Mexico C.,0,0.0,0,0.0,824,90.7,0,0.0
Northern State U.,0,0.0,0,0.0,892,98.2,0,0.0
Northland C.,0,0.0,0,0.0,628,69.4,574,98.5
Northwest Indian C.,0,0.0,0,0.0,490,54.3,565,96.9
Northwest Missouri State U.,0,0.0,137,20.5,892,98.2,0,0.0
Northwest Nazarene U.,0,0.0,0,0.0,783,86.3,0,0.0
Northwestern State U. Louisiana,0,0.0,648,93.8,575,63.6,454,78.1
Northwestern U.,31,7.6,38,6.3,30,4.2,18,3.9
Norwich U.,0,0.0,0,0.0,663,73.2,0,0.0
Notre Dame of Maryland U.,372,83.2,0,0.0,0,0.0,0,0.0
Nova Southeastern U.,169,38.2,357,52.1,258,29.0,231,40.1
Oakland U.,211,47.5,218,32.1,277,31.1,281,48.6
Oakwood U.,0,0.0,0,0.0,769,84.7,0,0.0
Oberlin C.,0,0.0,0,0.0,690,76.1,242,42.0
Occidental C.,0,0.0,0,0.0,461,51.2,252,43.7
Oglala Lakota C.,0,0.0,0,0.0,770,84.8,0,0.0
Ohio Northern U.,0,0.0,0,0.0,771,85.0,0,0.0
"Ohio State U., The",0,0.0,31,5.3,12,2.2,9,2.4
"Ohio State U., The, Columbus",7,2.3,0,0.0,0,0.0,0,0.0
Ohio U.,0,0.0,171,25.4,206,23.4,245,42.5
"Ohio U., Athens",126,28.7,0,0.0,0,0.0,0,0.0
Ohio Wesleyan U.,0,0.0,0,0.0,802,88.3,0,0.0
Oklahoma Christian U.,0,0.0,625,90.5,0,0.0,0,0.0
Oklahoma City U.,405,90.5,569,82.5,0,0.0,0,0.0
Oklahoma State U.,0,0.0,112,16.9,0,0.0,0,0.0
"Oklahoma State U., Center for Health Sciences",364,81.4,602,87.2,366,40.8,398,68.5
"Oklahoma State U., Stillwater",86,19.8,0,0.0,126,14.6,86,15.5
Old Dominion U.,109,24.9,203,30.0,188,21.4,198,34.5
Oregon Health and Science U.,217,48.8,289,42.3,60,7.4,90,16.1
Oregon Institute of Technology,0,0.0,574,83.2,436,48.4,453,77.9
Oregon State U.,71,16.5,69,10.8,94,11.1,76,13.8
Ouachita Baptist U.,0,0.0,0,0.0,878,96.6,0,0.0
Pace U.,364,81.4,227,33.4,460,51.1,535,91.8
Pacific Lutheran U.,0,0.0,0,0.0,815,89.8,0,0.0
Pacific States U.,0,0.0,579,83.9,0,0.0,0,0.0
Pacific U.,320,71.7,394,57.4,421,46.8,397,68.4
Pacifica Graduate Institute,214,48.2,0,0.0,0,0.0,0,0.0
"Palmer C. Chiropractic, Davenport",0,0.0,0,0.0,528,58.5,575,98.6
Palo Alto U.,196,44.2,240,35.3,788,86.8,0,0.0
Pardee RAND Graduate School,343,76.7,420,61.1,0,0.0,0,0.0
Parker U.,0,0.0,0,0.0,892,98.2,0,0.0
Pennsylvania State U.,417,93.1,0,0.0,0,0.0,0,0.0
Pennsylvania State U.,14,3.9,28,4.9,0,0.0,0,0.0
"Pennsylvania State U., Abington",0,0.0,0,0.0,816,89.9,0,0.0
"Pennsylvania State U., Lehigh Valley",0,0.0,0,0.0,900,99.0,0,0.0
"Pennsylvania State U., New Kensington",0,0.0,0,0.0,907,99.8,0,0.0
"Pennsylvania State U., The, Altoona",0,0.0,0,0.0,709,78.2,0,0.0
"Pennsylvania State U., The, Behrend",0,0.0,0,0.0,400,44.5,375,64.6
"Pennsylvania State U., The, Berks",0,0.0,0,0.0,807,88.9,0,0.0
"Pennsylvania State U., The, Great Valley School of Graduate Professional Studies",0,0.0,0,0.0,657,72.5,0,0.0
"Pennsylvania State U., The, Greater Allegheny",0,0.0,0,0.0,879,96.7,0,0.0
"Pennsylvania State U., The, Harrisburg",0,0.0,0,0.0,484,53.7,480,82.5
"Pennsylvania State U., The, University Park and Hershey Medical Center",0,0.0,0,0.0,26,3.7,19,4.1
"Pennsylvania State U., Wilkes-Barre",0,0.0,0,0.0,864,95.1,0,0.0
Pepperdine U.,0,0.0,157,23.4,498,55.2,456,78.4
Philadelphia C.  Osteopathic Medicine,0,0.0,301,44.0,390,43.4,481,82.7
Philander Smith C.,0,0.0,0,0.0,886,97.5,0,0.0
Piedmont Baptist C. and Graduate School,417,93.1,0,0.0,0,0.0,0,0.0
Pittsburg State U.,0,0.0,468,68.0,494,54.8,442,76.0
Pitzer C.,0,0.0,0,0.0,877,96.5,0,0.0
Plymouth State U.,0,0.0,628,91.0,520,57.6,0,0.0
Point Loma Nazarene U.,0,0.0,672,97.3,758,83.5,0,0.0
Point Park U.,0,0.0,683,98.9,0,0.0,0,0.0
Polytechnic U. Puerto Rico,0,0.0,386,56.2,682,75.3,0,0.0
Pomona C.,0,0.0,0,0.0,532,58.9,308,53.2
Ponce Heath Sciences U.,417,93.1,0,0.0,266,29.9,466,80.1
Pontifical Catholic U. Puerto Rico,0,0.0,374,54.5,0,0.0,0,0.0
"Pontifical Catholic U. Puerto Rico, Ponce",262,58.8,0,0.0,824,90.7,0,0.0
"Pontifical Catholic University of Puerto Rico, Mayaguez",0,0.0,687,99.4,0,0.0,0,0.0
Portland State U.,162,36.7,193,28.6,223,25.2,224,38.9
Prairie View A&M U.,325,72.8,404,58.8,292,32.7,213,37.1
Pratt Institute,0,0.0,0,0.0,504,55.8,0,0.0
Prescott C.,396,88.5,0,0.0,0,0.0,0,0.0
Princeton Theological Seminary,372,83.2,0,0.0,0,0.0,0,0.0
Princeton U.,59,13.9,62,9.8,69,8.4,89,16.0
Providence C.,0,0.0,0,0.0,693,76.5,462,79.4
Purdue U.,0,0.0,24,4.3,0,0.0,0,0.0
"Purdue U., Fort Wayne",0,0.0,0,0.0,507,56.2,403,69.4
"Purdue U., Northwest",0,0.0,0,0.0,397,44.2,494,84.9
"Purdue U., West Lafayette",5,1.9,0,0.0,41,5.4,23,4.7
Quinnipiac U.,0,0.0,406,59.1,658,72.6,0,0.0
Radford U.,0,0.0,429,62.4,677,74.7,0,0.0
Ramapo C. New Jersey,0,0.0,0,0.0,798,87.9,0,0.0
Reed C.,0,0.0,0,0.0,412,45.8,445,76.5
Regent U.,167,37.8,0,0.0,0,0.0,0,0.0
Regis U.,0,0.0,228,33.6,767,84.5,0,0.0
Rensselaer Polytechnic Institute,0,0.0,0,0.0,156,17.9,192,33.5
"Rensselaer Polytechnic Institute, Troy",136,30.9,154,23.0,0,0.0,0,0.0
Rhode Island C.,0,0.0,665,96.3,336,37.5,539,92.5
Rhode Island School of Design,0,0.0,0,0.0,648,71.5,0,0.0
Rice U.,105,24.0,80,12.3,117,13.7,169,29.6
Rider U.,0,0.0,0,0.0,834,91.8,0,0.0
Rivier U.,0,0.0,418,60.8,0,0.0,0,0.0
Roanoke C.,0,0.0,0,0.0,699,77.1,0,0.0
Rochester Institute of Technology,203,45.7,116,17.5,193,21.9,206,35.9
"Rockefeller U., The",244,54.8,310,45.3,79,9.5,125,22.1
Roger Williams U.,0,0.0,547,79.3,556,61.5,536,92.0
Rollins C.,0,0.0,0,0.0,749,82.6,0,0.0
Roosevelt U.,430,96.0,333,48.6,0,0.0,0,0.0
Rosalind Franklin U.  Medicine and Science,308,69.0,612,88.7,324,36.2,301,52.0
Rose-Hulman Institute of Technology,0,0.0,658,95.3,0,0.0,0,0.0
Roseman U.  Health Sciences,0,0.0,0,0.0,395,44.0,427,73.5
Rowan U.,417,93.1,246,36.2,248,27.9,255,44.2
Rush U.,308,69.0,385,56.1,166,19.0,237,41.1
"Rutgers, The State U. New Jersey",0,0.0,43,7.0,0,0.0,0,0.0
"Rutgers, The State U. New Jersey, Camden",354,79.2,0,0.0,411,45.7,372,64.1
"Rutgers, The State U. New Jersey, New Brunswick",44,10.5,0,0.0,45,5.8,33,6.4
"Rutgers, The State U. New Jersey, Newark",178,40.2,0,0.0,261,29.4,306,52.9
"SUNY, Binghamton U.",100,22.9,99,15.1,153,17.6,196,34.2
"SUNY, Buffalo State",0,0.0,569,82.5,546,60.4,479,82.3
"SUNY, C. Brockport, The",0,0.0,559,81.1,626,69.1,568,97.5
"SUNY, C. Cortland",0,0.0,563,81.6,808,89.0,0,0.0
"SUNY, C. Old Westbury",0,0.0,0,0.0,904,99.5,0,0.0
"SUNY, C. Plattsburgh",0,0.0,606,87.8,604,66.8,578,99.2
"SUNY, C. Technology at Canton",0,0.0,0,0.0,562,62.2,0,0.0
"SUNY, C. of Environmental Science and Forestry",271,60.8,370,53.9,243,27.4,338,58.3
"SUNY, C. of Optometry",0,0.0,648,93.8,467,51.8,415,71.4
"SUNY, Cobleskill",0,0.0,0,0.0,627,69.3,0,0.0
"SUNY, Delhi",0,0.0,0,0.0,889,97.8,0,0.0
"SUNY, Downstate Health Sciences U.",372,83.2,353,51.5,233,26.3,318,54.9
"SUNY, Empire State C.",0,0.0,0,0.0,866,95.3,0,0.0
"SUNY, Farmingdale State C.",0,0.0,0,0.0,728,80.3,0,0.0
"SUNY, Fredonia",0,0.0,579,83.9,0,0.0,0,0.0
"SUNY, Geneseo",0,0.0,0,0.0,537,59.4,474,81.5
"SUNY, Morrisville",0,0.0,0,0.0,904,99.5,0,0.0
"SUNY, New Paltz",0,0.0,438,63.7,833,91.7,0,0.0
"SUNY, Oneonta",0,0.0,677,98.0,881,97.0,0,0.0
"SUNY, Oswego",0,0.0,519,75.3,641,70.8,463,79.6
"SUNY, Polytechnic Institute",354,79.2,420,61.1,59,7.3,114,20.2
"SUNY, Potsdam",0,0.0,665,96.3,744,82.0,0,0.0
"SUNY, Stony Brook U.",71,16.5,48,7.7,98,11.6,59,10.9
"SUNY, U. Albany",123,28.0,140,20.9,160,18.3,230,40.0
"SUNY, U. Buffalo",45,10.7,33,5.6,65,8.0,88,15.8
"SUNY, Upstate Medical U.",334,74.8,422,61.4,215,24.3,186,32.5
Sacred Heart U.,0,0.0,278,40.7,646,71.3,0,0.0
"Sage Colleges, The",0,0.0,523,75.9,0,0.0,0,0.0
Saginaw Valley State U.,0,0.0,0,0.0,511,56.6,482,82.8
Saint Francis U.,0,0.0,0,0.0,669,73.8,0,0.0
Saint John's U.,0,0.0,0,0.0,624,68.9,0,0.0
Saint Joseph's U.,0,0.0,525,76.2,486,53.9,503,86.4
Saint Louis U.,139,31.6,138,20.7,175,20.0,129,22.8
Saint Martin's U.,0,0.0,612,88.7,843,92.8,0,0.0
Saint Mary's U. Minnesota,0,0.0,235,34.6,716,79.0,0,0.0
Saint Michael's C.,0,0.0,0,0.0,668,73.7,0,0.0
Salem State U.,0,0.0,506,73.5,0,0.0,0,0.0
Salisbury U.,0,0.0,648,93.8,339,37.9,496,85.2
Salish Kootenai C.,0,0.0,0,0.0,732,80.7,0,0.0
Salus U.,430,96.0,464,67.4,710,78.3,0,0.0
Salve Regina U.,386,86.3,0,0.0,723,79.7,0,0.0
Sam Houston State U.,271,60.8,256,37.6,326,36.4,346,59.7
San Diego State U.,0,0.0,111,16.8,164,18.8,142,25.0
"San Diego State U., San Diego",316,70.8,0,0.0,0,0.0,0,0.0
San Francisco State U.,0,0.0,209,30.8,231,26.1,282,48.8
San Jose State U.,0,0.0,90,13.8,189,21.5,247,42.9
San Juan Bautista School of Medicine,0,0.0,584,84.7,731,80.6,0,0.0
Sanford-Burnham Medical Research Institute,0,0.0,601,87.1,0,0.0,0,0.0
"Sanford-Burnham Medical Research Institute, La Jolla",405,90.5,0,0.0,0,0.0,0,0.0
Santa Clara U.,372,83.2,195,28.8,478,53.0,278,48.1
Savannah State U.,0,0.0,590,85.5,561,62.1,449,77.2
Saybrook U.,225,50.6,0,0.0,0,0.0,0,0.0
Scripps C.,0,0.0,0,0.0,908,99.9,500,85.9
"Scripps Research Institute, The",218,49.1,295,43.2,58,7.2,93,16.7
Seattle Pacific U.,288,64.6,540,78.3,708,78.1,0,0.0
Seattle U.,0,0.0,387,56.4,582,64.4,0,0.0
Seton Hall U.,244,54.8,304,44.5,406,45.2,0,0.0
Sewanee: The U. South,0,0.0,0,0.0,712,78.5,0,0.0
Shippensburg U. Pennsylvania,0,0.0,535,77.6,0,0.0,0,0.0
Siena C.,0,0.0,0,0.0,660,72.9,0,0.0
Simmons U.,372,83.2,592,85.8,766,84.4,0,0.0
Sitting Bull C.,0,0.0,683,98.9,0,0.0,0,0.0
Skidmore C.,0,0.0,0,0.0,519,57.5,388,66.8
Slippery Rock U. Pennsylvania,0,0.0,513,74.5,847,93.2,0,0.0
Smith C.,372,83.2,621,90.0,442,49.1,337,58.2
Sofia U.,386,86.3,0,0.0,0,0.0,0,0.0
Sonoma State U.,0,0.0,491,71.3,482,53.4,361,62.2
South Carolina State U.,0,0.0,535,77.6,447,49.6,436,75.0
South Dakota School of Mines & Technology,301,67.4,338,49.4,305,34.2,365,62.9
South Dakota State U.,198,44.6,251,36.9,201,22.8,110,19.5
Southeast Missouri State U.,0,0.0,283,41.5,876,96.4,0,0.0
Southeastern Baptist Theological Seminary,297,66.6,0,0.0,0,0.0,0,0.0
Southeastern Louisiana U.,0,0.0,391,57.0,568,62.8,354,61.1
Southern Arkansas U.,0,0.0,381,55.5,726,80.1,0,0.0
"Southern Baptist Theological Seminary, The",293,65.7,0,0.0,0,0.0,0,0.0
Southern California U. of Health Sciences,0,0.0,0,0.0,792,87.2,0,0.0
Southern Connecticut State U.,0,0.0,337,49.2,396,44.1,317,54.8
"Southern Illinois U., Carbondale",143,32.5,169,25.1,210,23.8,136,24.0
"Southern Illinois U., Edwardsville",0,0.0,286,41.9,288,32.3,330,57.0
Southern Methodist U.,164,37.1,208,30.7,221,25.0,248,43.0
Southern Nazarene U.,0,0.0,510,74.0,0,0.0,0,0.0
Southern New Hampshire U.,417,93.1,0,0.0,0,0.0,0,0.0
Southern Oregon U.,0,0.0,646,93.5,748,82.5,0,0.0
Southern U. and A&M C.,0,0.0,311,45.5,0,0.0,0,0.0
"Southern U. and A&M C., Agricultural Research and Extension Center",0,0.0,0,0.0,392,43.6,581,99.7
"Southern U. and A&M C., Baton Rouge",304,68.1,0,0.0,415,46.1,219,38.1
"Southern U., New Orleans",0,0.0,547,79.3,845,93.0,0,0.0
Southern Utah U.,0,0.0,0,0.0,691,76.2,0,0.0
Southwestern Baptist Theological Seminary,225,50.6,0,0.0,0,0.0,0,0.0
Southwestern Oklahoma State U.,0,0.0,0,0.0,725,79.9,0,0.0
Southwestern U.,0,0.0,0,0.0,798,87.9,0,0.0
Spelman C.,0,0.0,0,0.0,523,57.9,363,62.6
Springfield C.,364,81.4,540,78.3,0,0.0,0,0.0
St. Ambrose U.,417,93.1,0,0.0,0,0.0,0,0.0
St. Bonaventure U.,0,0.0,0,0.0,810,89.2,0,0.0
St. Catherine U.,0,0.0,0,0.0,617,68.2,0,0.0
St. Cloud State U.,0,0.0,313,45.8,516,57.2,335,57.8
St. Edward's U.,0,0.0,0,0.0,345,38.5,332,57.3
St. Francis College,0,0.0,661,95.7,0,0.0,0,0.0
"St. John's U., New York",0,0.0,0,0.0,483,53.6,378,65.1
"St. John's U., Queens",178,40.2,271,39.7,0,0.0,0,0.0
St. Mary's C. Maryland,0,0.0,0,0.0,826,91.0,0,0.0
"St. Mary's U., San Antonio",354,79.2,505,73.3,0,0.0,0,0.0
St. Norbert C.,0,0.0,0,0.0,796,87.7,0,0.0
St. Olaf C.,0,0.0,0,0.0,683,75.4,0,0.0
St. Thomas U.,0,0.0,515,74.8,0,0.0,0,0.0
Stanford U.,2,1.2,13,2.7,9,1.9,38,7.3
Stephen F. Austin State U.,0,0.0,413,60.1,474,52.6,260,45.1
Stetson U.,0,0.0,0,0.0,726,80.1,0,0.0
Stevens Institute of Technology,206,46.4,76,11.8,220,24.9,357,61.6
Stockton U.,0,0.0,456,66.3,610,67.4,542,93.0
Stonehill C.,0,0.0,0,0.0,706,77.9,0,0.0
Suffolk U.,325,72.8,510,74.0,539,59.7,0,0.0
Sul Ross State U.,0,0.0,586,84.9,533,59.0,510,87.6
Susquehanna U.,0,0.0,0,0.0,820,90.3,0,0.0
Swarthmore C.,0,0.0,0,0.0,472,52.4,355,61.2
Syracuse U.,118,26.9,83,12.8,144,16.6,233,40.5
Tarleton State U.,0,0.0,401,58.4,290,32.5,426,73.3
Taylor U.,0,0.0,0,0.0,881,97.0,0,0.0
"Teachers C., Columbia U.",146,33.1,102,15.5,259,29.1,382,65.8
Temple U.,78,18.1,105,15.9,90,10.7,147,25.8
Tennessee State U.,253,56.8,331,48.4,247,27.8,256,44.4
Tennessee Technological U.,293,65.7,483,70.2,307,34.4,315,54.4
Texas A&M International U.,0,0.0,602,87.2,457,50.7,459,78.9
Texas A&M U.,0,0.0,6,1.7,0,0.0,0,0.0
"Texas A&M U., College Station",6,2.1,0,0.0,0,0.0,0,0.0
"Texas A&M U., College Station and Health Science Center",0,0.0,0,0.0,16,2.6,5,1.7
Texas A&M U.-Central Texas,0,0.0,687,99.4,686,75.7,0,0.0
Texas A&M U.-Commerce,284,63.7,323,47.2,452,50.2,455,78.2
Texas A&M U.-Corpus Christi,320,71.7,308,45.1,238,26.8,279,48.3
Texas A&M U.-Kingsville,348,77.9,233,34.3,265,29.8,370,63.8
Texas A&M U.-San Antonio,0,0.0,563,81.6,602,66.5,0,0.0
Texas Chiropractic C.,0,0.0,0,0.0,890,97.9,0,0.0
Texas Christian U.,244,54.8,340,49.6,308,34.5,312,53.9
Texas Southern U.,301,67.4,430,62.6,348,38.8,392,67.5
Texas State U.,209,47.1,148,22.1,176,20.1,208,36.2
Texas Tech U.,41,9.9,61,9.6,127,14.7,94,16.8
Texas Tech U. Health Sciences Center,308,69.0,0,0.0,222,25.1,210,36.6
"Texas Tech U. Health Sciences Center, El Paso",0,0.0,0,0.0,334,37.3,311,53.7
Texas Woman's U.,159,36.0,225,33.1,415,46.1,386,66.5
Thomas Jefferson U.,301,67.4,361,52.7,123,14.3,181,31.6
Tiffin U.,0,0.0,538,78.1,0,0.0,0,0.0
Tougaloo C.,0,0.0,690,99.9,535,59.2,576,98.8
Touro C.,0,0.0,288,42.2,791,87.1,0,0.0
Touro U.,0,0.0,0,0.0,466,51.7,562,96.4
"Touro U., Vallejo",0,0.0,340,49.6,0,0.0,0,0.0
Towson U.,334,74.8,265,38.9,454,50.4,358,61.7
"Toyota Technological Institute, Chicago",405,90.5,569,82.5,414,46.0,572,98.1
"Trinity C., Hartford",0,0.0,672,97.3,563,62.3,468,80.4
Trinity U.,0,0.0,0,0.0,487,54.0,429,73.8
Troy U.,0,0.0,269,39.5,583,64.5,529,90.8
Truman State U.,0,0.0,579,83.9,874,96.2,0,0.0
Tufts U.,0,0.0,63,9.9,110,12.9,97,17.3
"Tufts U., Medford",134,30.5,0,0.0,0,0.0,0,0.0
Tulane U.,128,29.1,100,15.2,119,13.9,57,10.5
Tuskegee U.,386,86.3,427,62.1,273,30.7,176,30.8
"U. Akron, Akron",122,27.8,0,0.0,0,0.0,0,0.0
"U. Akron, The",0,0.0,216,31.9,294,33.0,171,29.9
"U. Alabama, The, Birmingham",113,25.8,107,16.2,44,5.7,74,13.4
"U. Alabama, The, Huntsville",225,50.6,248,36.4,145,16.7,189,33.0
"U. Alabama, The, Tuscaloosa",108,24.7,123,18.5,150,17.3,187,32.6
"U. Alaska, Anchorage",372,83.2,499,72.5,274,30.8,350,60.4
