Institution,Rank_earned_doct,Percentile_earned_doct,Rank_full_time_grad,Percentile_full_time_grad,Rank_tot_rd,Percentile_tot_rd,Rank_research_space,Percentile_research_space
"C. Wooster, The",0,0.0,0,0.0,629,69.5,0,0.0
"CUNY, Advanced Science Research Center",0,0.0,0,0.0,306,34.3,402,69.2
"CUNY, Baruch C.",0,0.0,393,57.2,506,56.1,561,96.3
"CUNY, Brooklyn C.",0,0.0,436,63.4,385,42.9,314,54.2
"CUNY, C. Staten Island",0,0.0,653,94.6,488,54.1,408,70.2
"CUNY, City C.",279,62.6,271,39.7,192,21.8,113,20.1
"CUNY, Graduate Center",48,11.4,134,20.1,438,48.7,421,72.4
"CUNY, Graduate School of Public Health and Health Policy",0,0.0,0,0.0,312,34.9,0,0.0
"CUNY, Hunter C.",0,0.0,413,60.1,235,26.5,204,35.5
"CUNY, John Jay C. Criminal Justice",0,0.0,384,56.0,331,37.0,440,75.7
"CUNY, Lehman C.",0,0.0,528,76.6,440,48.9,538,92.4
"CUNY, Medgar Evers C.",0,0.0,0,0.0,707,78.0,0,0.0
"CUNY, New York City C.  Technology",0,0.0,0,0.0,595,65.8,417,71.8
"CUNY, Queens C.",0,0.0,297,43.5,302,33.8,293,50.7
"CUNY, York C.",0,0.0,0,0.0,620,68.5,484,83.2
"CUNY, system office",0,0.0,0,0.0,574,63.5,0,0.0
Caldwell U.,396,88.5,683,98.9,0,0.0,0,0.0
California Baptist U.,0,0.0,175,26.0,0,0.0,0,0.0
California Institute of Integral Studies,209,47.1,214,31.6,0,0.0,0,0.0
California Institute of Technology,111,25.4,109,16.5,62,7.7,77,13.9
California Institute of the Arts,417,93.1,0,0.0,0,0.0,0,0.0
California Lutheran U.,0,0.0,444,64.6,621,68.6,0,0.0
"California Polytechnic State U., San Luis Obispo",0,0.0,289,42.3,251,28.3,218,37.9
"California State Polytechnic U., Pomona",0,0.0,311,45.5,375,41.8,532,91.3
California State U. Maritime Academy,0,0.0,0,0.0,491,54.4,537,92.2
"California State U., Bakersfield",0,0.0,491,71.3,386,43.0,525,90.1
"California State U., Channel Islands",0,0.0,0,0.0,518,57.4,524,90.0
"California State U., Chico",0,0.0,346,50.5,439,48.8,488,83.8
"California State U., Dominguez Hills",0,0.0,486,70.6,495,54.9,497,85.4
"California State U., East Bay",0,0.0,264,38.7,278,31.2,477,82.0
"California State U., Fresno",0,0.0,253,37.2,347,38.7,307,53.1
"California State U., Fullerton",0,0.0,201,29.7,350,39.1,262,45.4
